Name,Comment,Footprint,JLCPCB part #,Quantity,Links,Price (Not include shipping
CR0805F88063G,806k,R_0805_2012Metric,C101872,4,https://jlcpcb.com/partdetail/LIZElec-CR0805F88063G/C101872,Within PCB
1N4148W diode,1N4148W,D_SOD-123,C81598,46,https://jlcpcb.com/partdetail/ST_Semtech-1N4148W/C81598 ,Within PCB
,,TestPoint_Pad_D2.0mm,,4,,Within PCB
PCB from JLCPCB,,,,1,,$35.71 
Kalih hotswap sockets,,SW_MX_HS_CPG151101S11_1u,Not from JLC PCB,46,https://www.aliexpress.us/item/3256809253442692.html ,$12.17 
XIAO nRF52840 SMD,,modified-XIAO-nRF52840-SMD,Not from JLC PCB,2,https://www.aliexpress.us/item/3256806802639384.html ,$17.96 
SK6812MINI - E,SK6812 ,MX_SK6812MINI-E_REV,"Hand solder, not from JLC PCB",46,https://www.aliexpress.us/item/3256805061849599.html,$6.16 
JST connector,,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,Not from JLC PCB,2,https://www.aliexpress.us/item/3256804769340392.html,$1.60 
MX switches,,,Not from JLC PCB,46,https://www.aliexpress.us/item/3256805881801670.html ,$8.05 
Rechargable Lipo battery,3.7 V-100mAh-0.37W,,Not from JLC PCB,2,https://www.aliexpress.us/item/3256805604531299.html ,$7.01 
Heat inserts,M3x5x4,,Not from JLC PCB,,https://www.aliexpress.us/p/shoppingcart/index.html,$2.63 
